person_id,display_name,category,language,region,image_path,face_count,face_quality,blur_score,resolution,usable,consent_status,license_status
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\006e1bcb09.jpg,1,high,329.4,600x600,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\0c326fa79f.jpg,0,low,627.7,183x275,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\13f459ec3f.jpg,1,high,250.4,800x1200,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\15db81cc38.jpg,1,high,2071.3,225x225,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\1b6bcfb244.jpg,1,high,456.6,250x250,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\239fbe90ea.jpg,0,low,398.0,305x165,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\253b1f015f.jpg,1,high,1230.7,198x255,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\255ed913a3.jpg,1,high,194.6,399x399,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\2ccb48d63c.jpg,0,low,247.7,999x1332,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\2f7fc0a1b8.jpg,1,high,647.3,516x780,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\373f815f35.jpg,1,high,3312.0,183x275,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\3f77d1ce12.jpg,0,low,446.4,259x194,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\42cda457b6.jpg,1,high,177.3,289x175,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\49b2fe71ed.jpg,1,high,358.9,300x168,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\4d7ed8d8d0.jpg,0,low,55.6,1280x720,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\5b29cb5d6f.jpg,1,high,1228.9,182x277,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\5d74cad8ce.jpg,0,low,2028.9,298x169,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\5fe3d448fd.jpg,1,high,1472.7,275x183,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\65efb163a8.jpg,1,high,1163.7,214x317,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\6e0e1582ed.jpg,0,low,485.8,201x251,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\7a701a3a96.jpg,1,medium,60.8,773x1024,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\85a3fe0cbe.jpg,0,low,208.6,399x400,no,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\8cacb994ec.jpg,1,high,2293.9,259x194,yes,unknown,unknown
anushka_shetty,Anushka Shetty,actresses,unknown,unknown,datasets/raw\actresses\anushka_shetty\9b16d912ba.jpg,0,low,699.5,640x860,no,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\00dd5dc96e.jpg,1,high,340.8,225x225,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\025fd08a89.jpg,0,low,591.4,225x225,no,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\0bdadc3a12.jpg,1,high,935.1,237x213,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\0d5f01f97a.jpg,1,high,209.9,233x216,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\104a431510.jpg,1,high,8841.7,195x259,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\140d8bcd86.jpg,0,low,790.0,203x249,no,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\164a93cb6b.jpg,1,medium,41.3,770x433,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\1a8eba10c2.jpg,1,medium,40.5,1080x1350,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\1cfde4a111.jpg,0,low,1671.1,219x230,no,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\26f13fdaea.jpg,1,high,679.6,260x194,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\2cea0dc851.jpg,1,high,264.1,800x600,yes,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\329adb5357.jpg,0,low,413.7,190x266,no,unknown,unknown
aruna_irani,Aruna Irani,actresses,unknown,unknown,datasets/raw\actresses\aruna_irani\3c68d4a319.jpg,1,high,5457.3,402x500,yes,unknown,unknown
