person_id,display_name,category,language,region,image_path,face_count,face_quality,blur_score,resolution,usable,consent_status,license_status
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\0ca8af14c1.jpg,1,high,132.3,759x422,yes,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\11b300d871.jpg,0,low,577.7,800x400,no,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\25ed6e07a8.jpg,1,high,457.7,700x467,yes,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\29ed5dbb93.jpg,1,high,745.6,855x571,yes,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\2bfe7e20ee.jpg,0,low,3357.4,284x177,no,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\3be568462b.jpg,1,high,346.7,275x183,yes,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\4312caf0f1.jpg,1,high,526.6,945x1280,yes,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\4c62367045.jpg,0,low,1639.5,423x423,no,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\4d42a56b9c.jpg,1,high,943.0,259x194,yes,unknown,unknown
chiranjeevi,Chiranjeevi,telugu_heroes,telugu,telangana_andhra,datasets/raw\telugu_heroes\chiranjeevi\547a713dae.jpg,1,high,308.8,275x183,yes,unknown,unknown
